343,18
350,7
345,13
204,4
528,18
490,7
588,13
204,4
354,27
361,10
353,19
204,4
343,18
350,7
345,13
204,4
564,18
556,7
523,13
204,4
761,18
606,7
802,13
204,4
539,27
513,10
545,19
204,4
564,18
556,7
523,13
204,4
357,27
378,10
345,22
204,4
538,27
536,10
496,22
204,4
340,27
366,10
485,22
204,4
357,27
378,10
345,22
204,4
343,18
350,7
345,13
204,4
528,18
490,7
588,13
204,4
354,27
361,10
353,19
204,4
343,18
350,7
345,13
204,4
335,18
337,6
334,12
176,1
520,18
477,6
577,12
176,1
347,27
348,9
342,18
176,1
335,18
337,6
334,12
176,1
556,18
543,6
512,12
176,1
753,18
593,6
791,12
176,1
532,27
491,9
543,18
176,1
556,18
543,6
512,12
176,1
350,27
365,9
334,21
176,1
531,27
523,9
485,21
176,1
333,27
353,9
474,21
176,1
350,27
365,9
334,21
176,1
335,18
337,6
334,12
176,1
520,18
477,6
577,12
176,1
347,27
348,9
342,18
176,1
335,18
337,6
334,12
176,1
358,18
345,6
334,12
175,1
543,18
485,6
577,12
175,1
370,27
373,9
342,18
175,1
358,18
345,6
334,12
175,1
579,18
551,6
512,12
175,1
776,18
601,6
791,12
175,1
555,27
516,9
543,18
175,1
579,18
551,6
512,12
175,1
373,27
390,9
334,21
175,1
554,27
548,9
485,21
175,1
356,27
378,9
474,21
175,1
373,27
390,9
334,21
175,1
358,18
345,6
334,12
175,1
543,18
485,6
577,12
175,1
370,27
373,9
342,18
175,1
358,18
345,6
334,12
175,1
